User ID,Username,OK Count,Rate,Total Amount,Bkash,Rocket,Paid Status
8083076750,no_username,8,3.5,28.0,Not Provided,Not Provided,No
5247038532,no_username,13,3.5,45.5,Not Provided,Not Provided,No
8621188995,no_username,28,3.5,98.0,Not Provided,Not Provided,No
6055229812,turja_un,44,3.5,154.0,Not Provided,Not Provided,No
8660969435,no_username,3,3.5,10.5,Not Provided,Not Provided,No
8061317420,no_username,19,3.5,66.5,Not Provided,Not Provided,No
6409773327,no_username,8,3.5,28.0,Not Provided,Not Provided,No
