User ID,Username,OK Count,Rate,Total Amount,Bkash,Rocket,Paid Status
8083076750,no_username,0,0.0,0.0,Not Provided,Not Provided,No
8204911242,no_username,0,0.0,0.0,Not Provided,Not Provided,No
6055229812,turja_un,37,3.5,129.5,Not Provided,Not Provided,No
8621188995,no_username,2,3.5,7.0,Not Provided,Not Provided,No
6409773327,no_username,15,3.5,52.5,Not Provided,Not Provided,No
8660969435,no_username,7,3.5,24.5,Not Provided,Not Provided,No
8061317420,no_username,8,3.5,28.0,Not Provided,Not Provided,No
