User ID,Username,OK Count,Rate,Total Amount,Bkash,Rocket,Paid Status
5247038532,no_username,4,3.5,14.0,Not Provided,Not Provided,No
6530040846,al_meaj68,4,3.5,14.0,Not Provided,Not Provided,No
6055229812,turja_un,44,3.5,154.0,Not Provided,Not Provided,No
8083076750,no_username,22,3.5,77.0,Not Provided,Not Provided,No
6409773327,no_username,35,3.5,122.5,Not Provided,Not Provided,No
8660969435,no_username,3,3.5,10.5,Not Provided,Not Provided,No
8061317420,no_username,8,3.5,28.0,Not Provided,Not Provided,No
